,Adjective,Adj_Type,Count,PP,NMod,Bare_in_PP_Sing,Bare_in_PP_Pl,Bare_in_NP_Sing,Bare_in_NP_Pl,PP_in_NP,PP_in_VP,PP_in_AP,PP_Percent,Prep_Entropies,HW_Entropies,PP_HW_Entropies
14,professional,Relational,10783,4523,0.02847074098117407,0.36480212248507626,0.31726730046429363,0.32894370768802744,0.27190948715570806,0.5432235242095954,0.35640061905814724,0.03758567322573513,0.41945655197996845,1.6609445311942441,5.9486526461422775,6.569300897066202
15,traditional,Relational,9850,4788,0.018172588832487308,0.24791144527986633,0.3362573099415205,0.24923857868020305,0.2968527918781726,0.4674185463659148,0.38596491228070173,0.05973266499582289,0.48609137055837565,1.8002906453687109,6.487052612300658,6.680940450894617
16,german,Relational,10705,4517,0.045305931807566556,0.32100951959265,0.2317910117334514,0.28958430639887905,0.20551144325081738,0.5656409121098074,0.34536196590657514,0.03342926721275183,0.42195235871088277,1.8528491081996028,6.3943675469421635,6.984758765951721
17,medical,Relational,8694,3980,0.06993328732459167,0.3972361809045226,0.2804020100502513,0.41626409017713367,0.24603174603174602,0.5469849246231155,0.35954773869346734,0.035175879396984924,0.45778697952610997,1.8406442373188163,5.164181557380501,6.60296238870264
18,physical,Relational,9387,4156,0.036646425908170875,0.4607795957651588,0.20981713185755535,0.41600085224246297,0.18280600830936403,0.5392204042348412,0.32868142444658327,0.06039461020211742,0.442739959518483,1.5622378120575577,5.788119551666004,6.486884348642938
19,environmental,Relational,8315,3244,0.1407095610342754,0.36775585696670776,0.4343403205918619,0.3733012627781118,0.36067348165965124,0.6155980271270037,0.28822441430332923,0.04192355117139334,0.39013830426939267,1.8327500618237158,5.247775651810681,6.378723109637505
20,annual,Relational,8179,3492,0.027754004156987408,0.3536655211912944,0.14518900343642613,0.3856217141459836,0.1557647634185108,0.4040664375715922,0.5094501718213058,0.03379152348224513,0.4269470595427314,1.7842087731931369,5.09127311332951,6.10750893138454
21,regional,Relational,7658,3496,0.04100287281274484,0.31178489702517165,0.3352402745995423,0.32554191694959517,0.30386523896578743,0.5354691075514875,0.3772883295194508,0.031178489702517163,0.4565160616348916,1.773320126498693,5.625322605354233,6.452644584521661
22,commercial,Relational,7831,3528,0.07048908185416933,0.33843537414965985,0.3543083900226757,0.33520623164346824,0.2870642318988635,0.483843537414966,0.4039115646258503,0.05442176870748299,0.45051717532882135,1.8669771211201553,5.970842758761915,6.602429972463341
23,official,Relational,7702,3080,0.022072189041807324,0.2883116883116883,0.2701298701298701,0.3075824461178915,0.24591015320695922,0.4237012987012987,0.462987012987013,0.03668831168831169,0.3998961308750974,1.8457484318547392,5.845182321186968,6.406544366803769
24,sexual,Relational,6875,3416,0.03418181818181818,0.5819672131147541,0.2268735362997658,0.5367272727272727,0.21716363636363636,0.6223653395784543,0.2848360655737705,0.045081967213114756,0.4968727272727273,1.3889603718359977,5.211672312426458,6.465492964868696
25,domestic,Relational,6934,3604,0.06316700317277185,0.37846836847946724,0.35987791342952274,0.38347274300548023,0.31871935390827805,0.5704772475027747,0.32519422863485015,0.04411764705882353,0.5197577156042689,1.7429785653286116,5.662315126572891,6.555550596335102
26,internal,Relational,6687,3009,0.0711828921788545,0.32801595214356927,0.3363243602525756,0.3261552265589951,0.28906834155824734,0.5417082087072117,0.35925556663343305,0.04287138584247258,0.4499775684163302,1.5870511312484037,5.591046119377523,6.19657508170035
27,potential,Relational,6710,2667,0.015499254843517139,0.22422197225346832,0.42144731908511435,0.21013412816691504,0.3657228017883756,0.5249343832020997,0.34495688038995126,0.0562429696287964,0.39746646795827123,1.4942464355947076,6.027330416213994,6.074961694903475
28,technical,Relational,6693,2667,0.055132227700582695,0.3618297712785902,0.2995875515560555,0.3563424473330345,0.25399671298371435,0.5084364454443194,0.3644544431946007,0.04611923509561305,0.39847601972209773,1.6594442038475385,5.527664731479491,6.285744799197748
29,cultural,Relational,6691,3058,0.024659991032730533,0.3855461085676913,0.3145846958796599,0.3147511582723061,0.26244208638469585,0.6288423806409418,0.27992151733158926,0.041203400915631135,0.4570318338066059,1.4406133652297433,5.8649072390032035,6.4497949377234765
30,christian,Relational,4670,2266,0.06209850107066381,0.37996469549867606,0.20255957634598412,0.3805139186295503,0.1802997858672377,0.5931156222418358,0.3067078552515446,0.04457193292144748,0.48522483940042827,1.5863769888407022,5.276422271096883,6.45315755685776
31,democratic,Relational,4713,2147,0.0791427965202631,0.35165346995808106,0.2384722869119702,0.33672819859961806,0.19669000636537237,0.6376339077782953,0.2864462040055892,0.031672100605496044,0.4555484829195841,1.5494278097393943,5.032016001876697,6.051396490852922
32,educational,Relational,5746,2896,0.04089801601113818,0.3349447513812155,0.3736187845303867,0.313783501566307,0.33762617473024714,0.6367403314917127,0.281767955801105,0.03383977900552486,0.504002784545771,1.7659684948809244,5.1507209579527125,6.2576970789336634
33,mental,Relational,5765,2712,0.033477883781439725,0.48746312684365783,0.23635693215339232,0.41699913269731137,0.208326105810928,0.6382743362831859,0.27654867256637167,0.031342182890855455,0.4704249783174328,1.6306503087311486,4.700705818517633,6.047144045779401
34,scientific,Relational,5828,2906,0.05061770761839396,0.45629731589814176,0.24604267033723332,0.41592312971859985,0.21568291008922444,0.608052305574673,0.2973158981417756,0.04198210598761184,0.498627316403569,1.4505821786826083,5.414161228819101,6.414461565235121
35,historical,Relational,5555,2793,0.031863186318631866,0.37808807733619765,0.2613677049767275,0.33357335733573357,0.22934293429342933,0.5209452201933404,0.3770139634801289,0.047977085571070534,0.5027902790279027,1.4255088301531622,5.703353022451485,6.323565355771535
36,urban,Relational,5492,3016,0.06973780043699927,0.3209549071618037,0.35046419098143233,0.3372177713037145,0.29278951201748,0.6160477453580901,0.27950928381962864,0.042771883289124665,0.5491624180626365,1.7868753568788434,5.193634254646732,6.555145151041479
37,russian,Relational,4708,2063,0.0951571792693288,0.29956374212312165,0.2375181774115366,0.31244689889549704,0.1949872557349193,0.6025206010664081,0.3247697527872031,0.024721279689772176,0.43819031435853867,1.7722436829930128,5.976322664029983,6.52386502910986
38,external,Relational,4852,2233,0.05894476504534213,0.26959247648902823,0.3878190774742499,0.2840065952184666,0.3246084089035449,0.5042543663233319,0.3837886251679355,0.04791759964173757,0.46022258862324816,1.8063745863325211,5.536766683704128,6.111099154796712
39,roman,Relational,3752,1764,0.08395522388059702,0.2709750566893424,0.20634920634920634,0.27398720682302774,0.17777185501066098,0.5668934240362812,0.3168934240362812,0.03798185941043084,0.4701492537313433,1.5386645691255643,5.0890160529328075,6.2418414965142155
40,academic,Relational,4711,2420,0.02759499044788792,0.3495867768595041,0.2863636363636364,0.31819146677987686,0.25429845043515176,0.5669421487603306,0.33429752066115703,0.043801652892561986,0.5136913606452982,1.743515133129834,5.31227606843378,6.289013524393291
41,parliamentary,Relational,4267,2207,0.029528943051324117,0.3647485274127775,0.22338015405527867,0.39934380126552615,0.20810874150456996,0.55595831445401,0.3380154055278659,0.03398278205709107,0.517225216779939,1.5661574448411104,4.863279035503051,6.169321541470552
42,african,Relational,3317,1698,0.07295749170937595,0.2744405182567727,0.36042402826855124,0.2882122399758818,0.31444075972264096,0.6213191990577149,0.29328621908127206,0.022968197879858657,0.5119083509195056,1.7823136480371506,5.4279547032023325,6.19209668843126
43,agricultural,Relational,4085,2162,0.08151774785801713,0.410268270120259,0.30249768732654947,0.408812729498164,0.2736842105263158,0.6290471785383904,0.2816836262719704,0.037927844588344126,0.5292533659730723,1.6339536402227557,4.888651786205735,6.2906996207418775
44,italian,Relational,4645,1834,0.060495156081808395,0.31679389312977096,0.22355507088331517,0.3108719052744887,0.17308934337997847,0.5512540894220284,0.36150490730643403,0.04089422028353326,0.39483315392895585,1.6752685682443593,6.016394901021765,6.4368030603695985
45,federal,Relational,3108,1476,0.06402831402831403,0.2994579945799458,0.17411924119241193,0.3507078507078507,0.1537966537966538,0.5724932249322493,0.35772357723577236,0.02100271002710027,0.4749034749034749,1.9338165357332333,4.630558897198074,5.9974998390162
46,indian,Relational,3194,1540,0.03256105197244834,0.2727272727272727,0.3012987012987013,0.28240450845335,0.26268002504696303,0.5655844155844156,0.35064935064935066,0.025974025974025976,0.48215403882279273,1.8104976842775917,5.768842345008087,6.368185728133792
47,global,Relational,3529,1630,0.05695664494190989,0.4423312883435583,0.1607361963190184,0.4412014735052423,0.1490507225843015,0.6558282208588957,0.2846625766871166,0.024539877300613498,0.4618872201756872,1.6679581430155455,4.782749454098882,6.005007825202793
48,chemical,Relational,1125,501,0.10666666666666667,0.3033932135728543,0.4251497005988024,0.28,0.3537777777777778,0.6207584830339321,0.27345309381237526,0.05189620758483034,0.44533333333333336,1.355008284017623,3.8159873961692328,5.03191279722416
49,electronic,Relational,3366,1146,0.20320855614973263,0.3656195462478185,0.32111692844677137,0.4185977421271539,0.26143790849673204,0.5663176265270506,0.3472949389179756,0.04101221640488656,0.3404634581105169,1.5392234695455733,5.0452211771282975,5.80512786839662
50,literary,Relational,3384,1763,0.03516548463356974,0.39251276233692567,0.27680090754395914,0.37440898345153667,0.2502955082742317,0.6398184912081679,0.2558139534883721,0.049347702779353374,0.5209810874704491,1.4307959360518487,5.141171751547127,6.245879595476042
51,electric,Relational,3174,1091,0.12413358538122243,0.31347387717690195,0.2447296058661778,0.353182104599874,0.19880277252678008,0.5050412465627865,0.4005499541704858,0.04766269477543538,0.34373030875866417,1.63323353661905,4.941582535399223,5.838302155094464
52,catholic,Relational,2699,1316,0.03556872915894776,0.23708206686930092,0.23708206686930092,0.23304927751018895,0.21267135976287513,0.5820668693009119,0.32674772036474165,0.03419452887537994,0.48758799555390886,1.6573399886758071,4.825854915111422,6.083891839747723
53,classical,Relational,3424,1851,0.04994158878504673,0.4035656401944895,0.2069151809832523,0.401285046728972,0.17844626168224298,0.5364667747163695,0.3479200432198811,0.04916261480280929,0.5405957943925234,1.4497812328404804,5.391931754181558,6.309662254166132
